,links
"BBVA BOLSA USA (CUBIERTO), FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81513996 
"BBVA BOLSA USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81726200 
"BBVA BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V78822269 
"BBVA BONOS 2021, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86678026 
"BBVA BONOS 2024, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86907615 
"BBVA BONOS CORE BP, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83709170 
"BBVA BONOS CORPORATIVOS DURACION CUBIERTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V-85885242
"BBVA BONOS CORPORATIVOS LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84189737 
"BBVA BONOS CP, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85641868 
"BBVA BONOS DOLAR CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81755241 
"BBVA BONOS DURACION FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79497376 
"BBVA BONOS DURACION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81208290 
"BBVA BONOS ESPAÑA LARGO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86411121 
"BBVA BONOS EUSKOFONDO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82639899 
"BBVA BONOS GOBIERNOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85544369 
"BBVA BONOS INTERNACIONAL FLEXIBLE 0-3, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87211447 
"BBVA BONOS INTERNACIONAL FLEXIBLE EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83409268 
"BBVA BONOS INTERNACIONAL FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80421100 
"BBVA BONOS PLUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79734406 
"BBVA BONOS SOSTENIBLE ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63104319 
"BBVA BONOS VALOR RELATIVO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84939545 
"BBVA COBERTURA ACTIVA DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V42853895 
"BBVA COBERTURA ACTIVA EQUILIBRADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V42853846 
"BBVA COBERTURA ACTIVA PRUDENTE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V42853879 
"BBVA CONSOLIDACIÓN 85, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87346235 
"BBVA CREDITO EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V62868500 
"BBVA ESTRATEGIA 0-50, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87589388 
"BBVA FONDTESORO CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79497384 
"BBVA FUSION CORTO PLAZO III, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87224358 
"BBVA FUSION CORTO PLAZO V, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87313961 
"BBVA FUSION CORTO PLAZO VI, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86141025 
"BBVA FUSION CORTO PLAZO VII, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86136264 
"BBVA FUSION CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86969797 
"BBVA FUTURO SOSTENIBLE ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82360447 
"BBVA GESTION CONSERVADORA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80940083 
"BBVA GESTION DECIDIDA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83167452 
"BBVA GESTION MODERADA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82627555 
"BBVA MEJORES IDEAS (CUBIERTO 70), FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83167460 
"BBVA MI INVERSION BOLSA ACUMULACION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65764581 
"BBVA MI INVERSION BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86954104 
"BBVA MI INVERSION MIXTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87360723 
"BBVA MI INVERSION RF MIXTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87651105 
"BBVA MI OBJETIVO 2021, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87591756 
"BBVA MI OBJETIVO 2026, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87591749 
"BBVA MI OBJETIVO 2031, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87591731 
"BBVA RENTABILIDAD AHORRO CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81623936 
"BBVA RETORNO ABSOLUTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83021063 
"BEAUFORT INTERNACIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88517826 
"BEKA INTERNATIONAL SELECT EQUITIES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88446810 
"BEKA OPTIMA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88477294 
"BELGRAVIA DELTA,FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87488334 
"BELGRAVIA EPSILON, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83532952 
"BEST MANAGER CONSERVADOR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83657635 
"BEST MANAGER SELECTION,  FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86121514 
"BESTINFOND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80340219 
"BESTINVER BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V60519865 
"BESTINVER BONOS INSTITUCIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88495809 
"BESTINVER CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88113980 
"BESTINVER DEUDA CORPORATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V01616267 
"BESTINVER GRANDES COMPAÑÍAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86358835 
"BESTINVER INTERNACIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81841652 
"BESTINVER LATAM, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88113949 
"BESTINVER MEGATENDENCIAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87845566 
"BESTINVER MIXTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81750598 
"BESTINVER PATRIMONIO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82746140 
"BESTINVER RENTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81255366 
"BINDEX ESPAÑA INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87831137 
"BINDEX EURO INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87831103 
"BINDEX EUROPA INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87831129 
"BINDEX IXESG GLOBAL LEADERS INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V42776989 
"BINDEX USA INDICE (CUBIERTO), FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87831095 
"BINDEX USA INDICE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87932505 
"BISSAN, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V02929370 
"BITACORA RENTA VARIABLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87786281 
"BLUENOTE GLOBAL EQUITY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87113718 
"BNP PARIBAS CAAP DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81577538 
"BNP PARIBAS CAAP EQUILIBRADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81050007 
"BNP PARIBAS CAAP MODERADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81049991 
"BNP PARIBAS FLEXIBLE MAX 30, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82161365 
"BNP PARIBAS GLOBAL ASSET ALLOCATION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81960569 
"BNP PARIBAS GLOBAL DINVER, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80057961 
"BNP PARIBAS PORTFOLIO MAX 25, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82591157 
"BNP PARIBAS PORTFOLIO MAX 30, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82053059 
"BNP PARIBAS PORTFOLIO MAX 45, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81218596 
"BNP PARIBAS PORTFOLIO MAX 65, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81663973 
"BNP PARIBAS RENTA FIJA MIXTA GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82053034 
"BNP PARIBAS RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81577520 
"BONA-RENDA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V61009932 
"BOREAS CARTERA CRECIMIENTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85114205 
"BOWCAPITAL GLOBAL FUND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V64780109 
"BRIGHTGATE FOCUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V85664902 
"BSG PROMETEO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V86266335 
"BULNES GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V02753879 
"CAIXABANK AHORRO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V78600921 
"CAIXABANK BOLSA ALL CAPS ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82619065 
"CAIXABANK BOLSA DIVIDENDO EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63760946 
"CAIXABANK BOLSA GESTION ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V79196168 
"CAIXABANK BOLSA GESTION EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80929193 
"CAIXABANK BOLSA GESTION EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V64103484 
"CAIXABANK BOLSA INDICE ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82379751 
"CAIXABANK BOLSA INDICE EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V58224353 
"CAIXABANK BOLSA SELECCION ASIA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V64041163 
"CAIXABANK BOLSA SELECCION EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82607771 
"CAIXABANK BOLSA SELECCION EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V62614599 
"CAIXABANK BOLSA SELECCION GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V62613880 
"CAIXABANK BOLSA SELECCION JAPON, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82104381 
"CAIXABANK BOLSA SELECCION USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V62614516 
"CAIXABANK BOLSA USA DIVISA CUBIERTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66198227 
"CAIXABANK BOLSA USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82100553 
"CAIXABANK BONOS FLOTANTES 2022, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87947693 
"CAIXABANK BONOS SUBORDINADOS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V01773456 
"CAIXABANK COMUNICACION MUNDIAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V61329264 
"CAIXABANK CRECIMIENTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84583947 
"CAIXABANK DESTINO 2022, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66674920 
"CAIXABANK DESTINO 2026, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88426226 
"CAIXABANK DESTINO 2030, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66675018 
"CAIXABANK DESTINO 2040, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66674953 
"CAIXABANK DESTINO 2050, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66674979 
"CAIXABANK DIVERSIFICADO DINAMICO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82607789 
"CAIXABANK ESPAÑA RENTA FIJA 2022, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82757964 
"CAIXABANK ESTRATEGIA FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66435686 
"CAIXABANK EVOLUCION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83050526 
"CAIXABANK GESTION 30, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83086769 
"CAIXABANK GESTION 60, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83086728 
"CAIXABANK GESTION TOTAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82717778 
"CAIXABANK INTERES 4, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66241787 
"CAIXABANK ITER, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V-65223489
"CAIXABANK MASTER GESTION ALTERNATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88394424 
"CAIXABANK MASTER RENTA FIJA ADVISED BY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88395561 
"CAIXABANK MASTER RENTA FIJA CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88395280 
"CAIXABANK MASTER RENTA FIJA DEUDA PUBLICA 1-3 ADVISED BY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88394390 
"CAIXABANK MASTER RENTA FIJA DEUDA PUBLICA 3-7, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88394374 
"CAIXABANK MASTER RENTA FIJA PRIVADA EURO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88395538 
"CAIXABANK MASTER RENTA VARIABLE EMERGENTE ADVISED BY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88393475 
"CAIXABANK MASTER RENTA VARIABLE ESPAÑA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88393442 
"CAIXABANK MASTER RENTA VARIABLE EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88393483 
"CAIXABANK MASTER RENTA VARIABLE JAPON ADVISED BY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88393426 
"CAIXABANK MASTER RENTA VARIABLE USA ADVISED BY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88395520 
"CAIXABANK MASTER RETORNO ABSOLUTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88394358 
"CAIXABANK MONETARIO RENDIMIENTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63050835 
"CAIXABANK MULTISALUD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V61690376 
"CAIXABANK OPORTUNIDAD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82903212 
"CAIXABANK RENTA FIJA ALTA CALIDAD CREDITICIA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V62039862 
"CAIXABANK RENTA FIJA CORPORATIVA DURACION CUBIERTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63715221 
"CAIXABANK RENTA FIJA CORPORATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V64062276 
"CAIXABANK RENTA FIJA DOLAR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V08694416 
"CAIXABANK RENTA FIJA ENERO 2026, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88626544 
"CAIXABANK RENTA FIJA FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V82815614 
"CAIXABANK RENTA FIJA SELECCION GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83086751 
"CAIXABANK RENTA FIJA SUBORDINADA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66747247 
"CAIXABANK RF DURACION NEGATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66907411 
"CAIXABANK SELECCION ALTERNATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66670449 
"CAIXABANK SELECCION FUTURO SOSTENIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63738215 
"CAIXABANK SELECCION RETORNO ABSOLUTO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63946172 
"CAIXABANK SELECCION TENDENCIAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65920753 
"CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961579 
"CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 1-3, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88581061 
"CAIXABANK SMART RENTA FIJA DEUDA PUBLICA 7-10, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961587 
"CAIXABANK SMART RENTA FIJA EMERGENTE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87962809 
"CAIXABANK SMART RENTA FIJA HIGH YIELD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87962742 
"CAIXABANK SMART RENTA FIJA INFLACION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961553 
"CAIXABANK SMART RENTA FIJA PRIVADA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87962833 
"CAIXABANK SMART RENTA VARIABLE EMERGENTE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87962817 
"CAIXABANK SMART RENTA VARIABLE EUROPA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961488 
"CAIXABANK SMART RENTA VARIABLE JAPON, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961538 
"CAIXABANK SMART RENTA VARIABLE USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87961512 
"CAIXABANK TARGET 2021, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88017223 
"CAJA INGENIEROS BOLSA EURO PLUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V48972202 
"CAJA INGENIEROS BOLSA USA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63606024 
"CAJA INGENIEROS EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63576847 
"CAJA INGENIEROS ENVIRONMENT ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66938481 
"CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V48716062 
"CAJA INGENIEROS GESTION ALTERNATIVA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63484489 
"CAJA INGENIEROS GESTION DINAMICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65436941 
"CAJA INGENIEROS GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V95024501 
"CAJA INGENIEROS IBERIAN EQUITY, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63885073 
"CAJA INGENIEROS PREMIER, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63193569 
"CAJA INGENIEROS RENTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V48641013 
"CAJA LABORAL PATRIMONIO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V20476024 
"CALIOPE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V67047084 
"CARTERA NARANJA 10/90, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146865 
"CARTERA NARANJA 20/80, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146873 
"CARTERA NARANJA 30/70, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146857 
"CARTERA NARANJA 40/60, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146816 
"CARTERA NARANJA 50/50, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146824 
"CARTERA NARANJA 75/25, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146840 
"CARTERA NARANJA 90, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88146790 
"CARTESIO X, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83908970 
"CARTESIO Y, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V83908582 
"CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63076509 
"CATALANA OCCIDENTE BOLSA MUNDIAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V64477524 
"CATALANA OCCIDENTE EMERGENTES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66549346 
"CATALANA OCCIDENTE PATRIMONIO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63076483 
"CATALANA OCCIDENTE RENTA FIJA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V63076491 
"CdE ODS Impact ISR, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65234239 
"CERVINO GLOBAL EQUITIES, F.I.",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V01914118 
"COBAS GRANDES COMPAÑIAS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87758249 
"COBAS IBERIA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87758397 
"COBAS INTERNACIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87758306 
"COBAS RENTA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87758447 
"COBAS SELECCION, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87647368 
"CODEX GLOBAL FUND, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88644323 
"COMPAS EQUILIBRADO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87218194 
"COMPROMISO MEDIOLANUM, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V66783341 
"CONCIENCIA ETICA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V02700128 
"COSMOS EQUITY TRENDS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V88291851 
"CREAND ACCIONES, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80057284 
"CREAND GESTION FLEXIBLE SOSTENIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V87263802 
"CREAND GLOBAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81768061 
"CREAND INSTITUCIONAL, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V65143661 
"CREDIT SUISSE BOLSA, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V81858060 
"CREDIT SUISSE EQUITY YIELD, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84113620 
"CS CORTO PLAZO, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V80077902 
"CS DIRECTOR BOND FOCUS, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V61635637 
"CS DIRECTOR FLEXIBLE, FI",https://www.cnmv.es/portal/Consultas/IIC/Fondo.aspx?nif=V84330224 
