fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**2545848.8000000003*177.0**30136000.0*False*10.4569*0.31*0.0*0.31*0.030000000000000002****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**2907780.1199999996*177.0**25772000.0*False*8.8775*0.31*0.0*0.31*0.020000000000000004****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**358621.76*3.0**3235000.0*False*9.0208*0.8*0.0*0.8*0.1****True*Y*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**358621.76*3.0**3802000.0*False*10.6016*0.2*0.0*0.2*0.030000000000000002****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**358621.76*3.0**3235000.0*False*9.0208*0.2*0.0*0.2*0.020000000000000004****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**94305.3*43.0**833000.0*False*8.8724*0.7*0.0*0.7*0.1****True*Y*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**60551.83*38.0**987000.0*False*10.422*0.17999999999999997*0.0*0.17999999999999997*0.030000000000000002****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**93749.95000000001*35.0**833000.0*False*8.8724*0.16999999999999998*0.0*0.16999999999999998*0.020000000000000004****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**111893.22*33.0**992000.0*False*8.8942*1.5*0.0*1.5*0.1****True*Y*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**100914.48000000001*36.0**1178000.0*False*10.4898*0.37*0.0*0.37*0.030000000000000002****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**113475.78*30.0**992000.0*False*8.8942*0.38*0.0*0.38*0.020000000000000004****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2018*2018-01-01*2018-12-31*6, en una escala del 1 al 7*0.12*-0.175**0.0*0.0**0.0*False*8.9587*0.0*0.0*0.0*0.0****True*Y*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2018 T2*2018-01-01*2018-06-30*6, en una escala del 1 al 7*0.0*-0.45999999999999996**-46579.0*-1.0**0.0*False*10.5527*-0.31*0.0*-0.31*-0.02****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2018 T4*2018-07-01*2018-12-31*6, en una escala del 1 al 7*0.48*-0.24000000000000002**0.0*0.0**0.0*False*8.9587*0.0*0.0*0.0*0.0****True*T*2018
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**5440165.35*4011.5**46280000.0*False*9.1072*1.75*0.0*1.75*0.1****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**5497188.050000001*4057.0**51586000.0*False*8.8962*0.44*0.0*0.44*0.030000000000000002****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**4659739.08*3569.0**46280000.0*False*9.1072*0.44*0.0*0.44*0.020000000000000004****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**2283898.625*144.0**20018000.0*False*9.3168*1.25*0.0*1.25*0.1****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**2258996.0800000005*147.0**21961000.0*False*9.078*0.31*0.0*0.31*0.030000000000000002****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**1902140.1499999994*119.0**20018000.0*False*9.3168*0.31*0.0*0.31*0.020000000000000004****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**358621.76*3.0**3410000.0*False*9.5099*0.8*0.0*0.8*0.1****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**358621.76*3.0**3316000.0*False*9.2451*0.2*0.0*0.2*0.030000000000000002****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**358621.76*3.0**3410000.0*False*9.5099*0.2*0.0*0.2*0.020000000000000004****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**40148.44*30.5**83000.0*False*9.3628*0.7*0.0*0.7*0.1****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**71476.8*35.0**650000.0*False*9.0975*0.17999999999999997*0.0*0.17999999999999997*0.030000000000000002****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**-53729.91*17.0**83000.0*False*9.3628*0.16999999999999998*0.0*0.16999999999999998*0.020000000000000004****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**93320.89*26.5**806000.0*False*9.311*1.5*0.0*1.5*0.1****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**79928.5*25.0**909000.0*False*9.0838*0.37*0.0*0.37*0.030000000000000002****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**62146.42*23.0**806000.0*False*9.311*0.38*0.0*0.38*0.020000000000000004****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2019*2019-01-01*2019-12-31*6, en una escala del 1 al 7*0.285*-0.175**0.0*0.0**0.0*False*9.4021*0.0*0.0*0.0*0.0****True*Y*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2019 T2*2019-01-01*2019-06-30*6, en una escala del 1 al 7*0.74*-0.12999999999999998**0.0*0.0**0.0*False*9.1611*0.0*0.0*0.0*0.0****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2019 T4*2019-07-01*2019-12-31*6, en una escala del 1 al 7*0.2*-0.23**0.0*0.0**0.0*False*9.4021*0.0*0.0*0.0*0.0****True*T*2019
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - BASE*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**4751723.16*3575.0**27723000.0*False*5.8223*0.44*0.0*0.44*0.030000000000000002****True*T*2020
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PLUS*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**2065854.8400000003*119.0**12600000.0*False*5.971*0.31*0.0*0.31*0.030000000000000002****True*T*2020
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PREMIER*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**358621.76*3.0**2191000.0*False*6.1084*0.2*0.0*0.2*0.030000000000000002****True*T*2020
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - CARTERA*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**8789.85*25.0**53000.0*False*6.0169*0.17999999999999997*0.0*0.17999999999999997*0.030000000000000002****True*T*2020
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - PYME*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**100215.39*29.0**611000.0*False*5.9599*0.38*0.0*0.38*0.030000000000000002****True*T*2020
SABADELL ESPAÑA BOLSA, FI*SABADELL ESPAÑA BOLSA, FI - EMPRESA*2020 T2*2020-01-01*2020-06-30*6, en una escala del 1 al 7*2.72*-0.04000000000000001**0.0*0.0**0.0*False*6.0256*0.0*0.0*0.0*0.0****True*T*2020
