fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2013*2013-01-01*2013-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Medio   *0.14*0.07**323415.79*7*0.0*2391912*false*7.3958*0.14*0.0*0.14*0.01*2.15*1.74*0.32*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2014*2014-07-01*2014-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.0*0.04**1237611.99*1812*0.0*11184709*false*9.0373*0.37*0.0*0.37*0.04*-2.33*2.36*0.59*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2014*2014-07-01*2014-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.0*0.04**1250853.47*99*0.0*9749343*false*7.7942*0.25*0.0*0.25*0.03*-2.21*2.36*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 3 2014*2014-07-01*2014-09-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.0*0.04**38064.71*2*0.0*301149*false*7.9115*0.14*0.0*0.14*0.01*-2.08*2.36*0.35*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2014*2014-01-01*2014-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.2*0.18**1485000.61*1950*0.0*13740397*false*9.2528*0.72*0.0*0.72*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2014*2014-01-01*2014-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.2*0.18**1438167.77*119*0.0*11462231*false*7.97*0.5*0.0*0.5*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 1 2014*2014-01-01*2014-06-30*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*4 - Medio*0.2*0.18**244719.72*6*0.0*1977292*false*8.0798*0.27*0.0*0.27*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2014*2014-01-01*2014-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.16**1385828.37*1934*0.0*12587118*false*9.0827*0.36*0.0*0.36*0.04*2.05*1.47*0.58*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2014*2014-01-01*2014-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.16**1334979.09*111*0.0*10431393*false*7.8139*0.25*0.0*0.25*0.02*2.18*1.47*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Trimester 1 2014*2014-01-01*2014-03-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.16**156997.09*4*0.0*1242129*false*7.9118*0.14*0.0*0.14*0.01*2.3*1.47*0.34*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2013*2013-07-01*2013-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.09**1354585.14*1942*0.0*12056077*false*8.9002*0.74*0.0*0.74*0.08*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK SELECCION FUTURO SOSTENIBLE, FI*FONCAIXA RENTA FIJA SELECCION HIGH YIELD, FI*63738215*Semester 2 2013*2013-07-01*2013-12-31*3120*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*4 - Medio*0.0*0.09**1186681.34*99*0.0*9075171*false*7.6475*0.5*0.0*0.5*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
