fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 1 2016*2016-01-01*2016-06-30*4630**n.d.*Medio*0.69*0.0**1578415.03*36*0.0*9373200*false*5.9384*0.16*0.0*0.16*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 1 2016*2016-01-01*2016-06-30*4630**n.d.*Medio*0.69*0.0**5884612.35*37*0.0*34262852*false*5.8224*0.5*0.0*0.5*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 1 2016*2016-01-01*2016-03-31*4630**n.d.*Medio*0.33*0.0**835381.31*280*0.0*4878123*false*5.8394*0.34*0.0*0.34*0.03*-1.99*3.62*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 1 2016*2016-01-01*2016-03-31*4630**n.d.*Medio*0.33*0.0**1659242.34*37*0.0*9947302*false*5.9951*0.08*0.0*0.08*0.03*-1.74*3.63*0.12*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 1 2016*2016-01-01*2016-03-31*4630**n.d.*Medio*0.33*0.0**5884334.72*37*0.0*34645887*false*5.8878*0.25*0.0*0.25*0.03*-1.91*3.63*0.28*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 3 2017*2017-07-01*2017-09-30*4630**n.d.*Medio*0.18*0.04**495567.32*225*0.0*2802242*false*5.6546*0.34*0.0*0.34*0.03*-0.37*1.11*0.38*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 3 2017*2017-07-01*2017-09-30*4630**n.d.*Medio*0.18*0.04**1360062.95*36*0.0*8018197*false*5.8955*0.08*0.0*0.08*0.03*-0.11*1.11*0.12*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 3 2017*2017-07-01*2017-09-30*4630**n.d.*Medio*0.18*0.04**5269444.53*30*0.0*30203951*false*5.7319*0.25*0.0*0.25*0.03*-0.28*1.11*0.29*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 1 2017*2017-01-01*2017-06-30*4630**n.d.*Medio*0.93*0.0**526698.28*233*0.0*2989231*false*5.6754*0.67*0.0*0.67*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 1 2017*2017-01-01*2017-06-30*4630**n.d.*Medio*0.93*0.0**1360062.95*36*0.0*8026853*false*5.9018*0.16*0.0*0.16*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 1 2017*2017-01-01*2017-06-30*4630**n.d.*Medio*0.93*0.0**5282388.41*32*0.0*30361895*false*5.7478*0.5*0.0*0.5*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Trimester 1 2017*2017-01-01*2017-03-31*4630**n.d.*Medio*0.51*0.0**566430.87*244*0.0*3233909*false*5.7093*0.33*0.0*0.33*0.03*0.15*0.82*0.37*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Trimester 1 2017*2017-01-01*2017-03-31*4630**n.d.*Medio*0.51*0.0**1410742.95*36*0.0*8354258*false*5.9219*0.08*0.0*0.08*0.03*0.41*0.82*0.12*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Trimester 1 2017*2017-01-01*2017-03-31*4630**n.d.*Medio*0.51*0.0**5282386.25*33*0.0*30516413*false*5.777*0.25*0.0*0.25*0.03*0.24*0.81*0.28*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase A*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**586328.28*253*0.0*3342470*false*5.7007*0.68*0.0*0.68*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase B FI..*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**1409571.81*36*0.0*8313508*false*5.8979*0.17*0.0*0.17*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*Fonditel Smart Beta Clase C F.I.*86783982*Semester 2 2016*2016-07-01*2016-12-31*4630**n.d.*Medio*0.15*0.0**5294927.8*35*0.0*30515830*false*5.7632*0.5*0.0*0.5*0.06*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE A FONDITEL SMART BETA FI*86783982*Semester 2 2018*2018-07-01*2018-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.17*0.0**398922.32*195*0.0*2163092*false*5.4223*0.68*0.0*0.68*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
FONDITEL BOLSA MUNDIAL SOSTENIBLE, FI*CLASE B FONDITEL SMART BETA FI*86783982*Semester 2 2018*2018-07-01*2018-12-31*4630*N/D*ND*4 en una escala de 1 a 7*0.17*0.0**1280262.5*35*0.0*7330931*false*5.7261*0.17*0.0*0.17*0.05*[]*[]*[]*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*
