fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**89437068.96*37718*0.0*695589838*false*7.7774*0.48*0.0*0.48*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**36976238.65*2713*0.0*289229446*false*7.822*0.34*0.0*0.34*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**34052560.01*986*0.0*267687996*false*7.861*0.22*0.0*0.22*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**11594733.37*7851*0.0*90696154*false*7.8222*0.34*0.0*0.34*0.04*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Semester 2 2013*2013-07-01*2013-12-31*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.68*0.11**2850466.11*166*0.0*22510880*false*7.8973*0.11*0.0*0.11*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**52998620.07*288*0.0*417270173*false*7.8732*0.06*0.0*0.06*0.01*0.46*0.23*0.06*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**64361490.52*26062*0.0*500048552*false*7.7694*0.24*0.0*0.24*0.03*0.26*0.23*0.27*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**37156650.43*2694*0.0*290122715*false*7.8081*0.17*0.0*0.17*0.02*0.34*0.23*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**38066530.16*1077*0.0*298514817*false*7.8419*0.11*0.0*0.11*0.01*0.4*0.23*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MONETARIO RENDIMIENTO, FI*FONCAIXA MONETARIO RENDIMIENTO, FI*63050835*Trimester 3 2013*2013-07-01*2013-09-30*2680*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*1 - Muy bajo*0.37*0.07**9820446.3*7286*0.0*76680497*false*7.8082*0.17*0.0*0.17*0.02*0.34*0.23*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
