fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2017*2017-07-01*2017-09-30*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.12*0.12**6857740.69*2861*0.0*55560579*false*8.1019*0.37*0.0*0.37*0.03*1.4*4.1*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2017*2017-01-01*2017-06-30*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.27*0.1**6309122.74*2730*0.0*50408812*false*7.9898*0.72*0.0*0.72*0.07*0.17*4.16*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2017*2017-01-01*2017-03-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.12*0.12**5445458.39*2488*0.0*43432807*false*7.976*0.36*0.0*0.36*0.04*1.62*3.83*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2018*2018-07-01*2018-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.0*0.17**8431528.36*3048*0.0*66972015*false*7.943*0.37*0.0*0.37*0.03*-0.44*3.54*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2018*2018-01-01*2018-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.22*0.16**8583439.52*3103*0.0*68479734*false*7.9781*0.72*0.0*0.72*0.05*0.41*5.49*0.79*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2018*2018-01-01*2018-03-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.15*0.15**8167385.84*3042*0.0*64893602*false*7.9455*0.36*0.0*0.36*0.03*-2.0*5.56*0.39*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2016*2016-01-01*2016-12-31*1783*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*4 - Medio*0.38*0.13**************1.62*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2019*2019-07-01*2019-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*0.77**7276759.02*2983*0.0*60910463*false*8.3705*0.37*0.0*0.37*0.03*2.36*4.38*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2019*2019-07-01*2019-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*0.77**2906775.32*50*0.0*18168748*false*6.2505*0.26*0.0*0.26*0.03*2.47*4.38*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2019*2019-07-01*2019-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.0*0.77**99179.5*2*0.0*611250*false*6.1631*0.14*0.0*0.14*0.0*2.61*4.38*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2019*2019-01-01*2019-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.27*1.09**7795241.29*2947*0.0*63743897*false*8.1773*0.72*0.0*0.72*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2019*2019-01-01*2019-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.27*1.09**1753600.78*33*0.0*10696766*false*6.0999*0.07*0.0*0.07*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2019*2019-01-01*2019-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.27*1.09**166.66*1*0.0*1001*false*6.0066*0.01*0.0*0.01*0.0*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2019*2019-01-01*2019-03-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.11*1.22**8360634.29*2979*0.0*67568793*false*8.0818*0.36*0.0*0.36*0.03*5.61*4.71*0.39*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2018*2018-07-01*2018-12-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*4 - Medio*0.13*0.42**8341420.27*3015*0.0*63833288*false*7.6526*0.73*0.0*0.73*0.06*-3.66*6.17*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2020*2020-07-01*2020-12-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.24*-0.41**9473285.98*3869*0.0*83386641*false*8.8023*0.73*0.0*0.73*0.06*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2020*2020-07-01*2020-12-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.24*-0.41**4153341.47*83*0.0*27439377*false*6.6066*0.53*0.0*0.53*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 2 2020*2020-07-01*2020-12-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.24*-0.41**793184.93*27*0.0*5204395*false*6.5614*0.28*0.0*0.28*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2020*2020-07-01*2020-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.09*-0.41**8827554.27*3606*0.0*74278297*false*8.4144*0.36*0.0*0.36*0.03*0.72*6.72*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2020*2020-07-01*2020-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.09*-0.41**3707381.12*72*0.0*23389734*false*6.309*0.26*0.0*0.26*0.03*0.82*6.72*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 3 2020*2020-07-01*2020-09-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.09*-0.41**877669.65*24*0.0*5491338*false*6.2567*0.14*0.0*0.14*0.01*0.97*6.72*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2020*2020-01-01*2020-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.18*-0.24**8480508.44*3519*0.0*70848808*false*8.3543*0.72*0.0*0.72*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2020*2020-01-01*2020-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.18*-0.24**3847358.11*74*0.0*24074777*false*6.2575*0.52*0.0*0.52*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Semester 1 2020*2020-01-01*2020-06-30*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.18*-0.24**701491.61*16*0.0*4346893*false*6.1966*0.27*0.0*0.27*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2020*2020-01-01*2020-03-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.08*-0.11**7945616.25*3376*0.0*61667615*false*7.7612*0.36*0.0*0.36*0.03*-8.86*16.89*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2020*2020-01-01*2020-03-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.08*-0.11**3919372.68*75*0.0*22761030*false*5.8073*0.26*0.0*0.26*0.02*-8.77*16.89*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
MICROBANK FONDO ETICO, FI*MICROBANK FONDO ETICO, FI*82289935*Trimester 1 2020*2020-01-01*2020-03-31*1783*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*4 - Medio*0.08*-0.11**548710.61*7*0.0*3151018*false*5.7426*0.14*0.0*0.14*0.0*-8.64*16.9*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
