fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2017 T 1*2017-01-01*2017-03-31*6 (En una escala del 1 al 7)*0.0*0.0**113287.91*1*0.0*1171846*false*10.344*0.19*0.0*0.19*0.04*12.07*10.85*0.23
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*0.0**1610452.94*926*0.0*14544220*false*9.0311*0.57*0.0*0.57*0.04*-1.34*10.78*0.61
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-1.15*10.78*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2018 T 3*2018-07-01*2018-09-30*6 (En una escala del 1 al 7)*0.0*0.0**299551.6*104*0.0*2923694*false*9.7602*0.19*0.0*0.19*0.04*-0.95*10.67*0.24
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*0.0**1638153.28*938*0.0*14995082*false*9.1536*1.12*0.0*1.12*0.07*-0.28*12.25*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-0.1*12.25*0.0
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2018 S 1*2018-01-01*2018-06-30*6 (En una escala del 1 al 7)*0.0*0.0**304572.44*115*0.0*3001265*false*9.854*0.37*0.0*0.37*0.1*0.1*12.17*0.25
GVCGAESCO BOLSALIDER, FI*GVCGaesco Bolsalíder, F.I.*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*0.0**1676729.23*928*0.0*15392000*false*9.1797*0.55*0.0*0.55*0.04*-2.18*14.91*0.6
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE P*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*14.91*0.01
GVCGAESCO BOLSALIDER, FI*GVC GAESCO BOLSALIDER, FI CLASE I*2018 T 1*2018-01-01*2018-03-31*6 (En una escala del 1 al 7)*0.0*0.0**187151.37*4*0.0*1842000*false*9.8438*0.18*0.0*0.18*0.04*-1.81*14.88*0.23
