fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA LARGE CAP"*2019 T4*2019-07-01*2019-12-31*5, en una escala de 1 a 7.*0.87*-0.35000000000000003**88073.81*642.0*0.0*14417514.0*False*164.5865*0.22*0.5800000000000001*0.7999999999999999*0.019999999999999997****True*T*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA LARGE CAP"*2019*2019-01-01*2019-12-31*5, en una escala de 1 a 7.*0.25*-0.31**394746.75*12.5*0.0*68437057.0*False*165.8015*0.54*0.39*0.9299999999999999*0.04****True*Y*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA LARGE CAP"*2019 T2*2019-01-01*2019-06-30*6, en una escala de 1 a 7.*0.0*-0.3**363454.31*14.0*0.0*58360533.0*False*154.914*0.17**0.2*0.01****True*T*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA LARGE CAP"*2019 T4*2019-07-01*2019-12-31*5, en una escala de 1 a 7.*0.87*-0.35000000000000003**503413.98000000004*13.0*0.0*68437057.0*False*165.8015*0.16999999999999998*0.25*0.42*0.019999999999999997****True*T*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA LARGE CAP"*2019*2019-01-01*2019-12-31*5, en una escala de 1 a 7.*0.25*-0.31**182.89499999999998*10.0*0.0*30170.0*False*156.2391*1.5**1.5*0.04****True*Y*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA LARGE CAP"*2019 T2*2019-01-01*2019-06-30*6, en una escala de 1 a 7.*0.0*-0.3**193.32*10.0*0.0*25217.0*False*146.02200000000002*0.37**0.37*0.01****True*T*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA LARGE CAP"*2019 T4*2019-07-01*2019-12-31*5, en una escala de 1 a 7.*0.87*-0.35000000000000003**312.88*18.0*0.0*30170.0*False*156.2391*0.38**0.38*0.01****True*T*2019
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA EUROPEA"*2020*2020-01-01*2020-12-31*5, en una escala de 1 a 7.*0.8999999999999999*-0.35**89658.73000000001*626.5*0.0*14524196.0*False*162.9304*0.85*0.0*0.85*0.05****True*Y*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA EUROPEA"*2020 T2*2020-01-01*2020-06-30*5, en una escala de 1 a 7.*1.5299999999999998*-0.33999999999999997**83434.75000000001*602.0*0.0*13036538.0*False*144.5711*0.21*0.0*0.21*0.019999999999999997****True*T*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*A* MUTUAFONDO BOLSA EUROPEA"*2020 T4*2020-07-01*2020-12-31*5, en una escala de 1 a 7.*0.79*-0.37999999999999995**93030.56*627.0*0.0*14524196.0*False*162.9304*0.22*0.0*0.22*0.01****True*T*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA EUROPEA"*2020*2020-01-01*2020-12-31*5, en una escala de 1 a 7.*0.8999999999999999*-0.35**414350.29000000004*121.0*0.0*74601821.0*False*164.3747*0.7*0.0*0.7*0.04****True*Y*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA EUROPEA"*2020 T2*2020-01-01*2020-06-30*5, en una escala de 1 a 7.*1.5299999999999998*-0.33999999999999997**373499.23*9.0*0.0*54631465.0*False*145.7428*0.17999999999999997*0.0*0.17999999999999997*0.01****True*T*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*L* MUTUAFONDO BOLSA EUROPEA"*2020 T4*2020-07-01*2020-12-31*5, en una escala de 1 a 7.*0.79*-0.37999999999999995**525175.4400000001*454.0*0.0*74601821.0*False*164.3747*0.16999999999999998*0.0*0.16999999999999998*0.01****True*T*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA EUROPEA"*2020*2020-01-01*2020-12-31*5, en una escala de 1 a 7.*0.8999999999999999*-0.35**1173.195*41.5*0.0*219115.0*False*153.658*1.49**1.49*0.04****True*Y*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA EUROPEA"*2020 T2*2020-01-01*2020-06-30*5, en una escala de 1 a 7.*1.5299999999999998*-0.33999999999999997**1520.71*50.0*0.0*125899.0*False*136.7876*0.37**0.37*0.01****True*T*2020
MUTUAFONDO BOLSA EUROPEA, FI*"*D* MUTUAFONDO BOLSA EUROPEA"*2020 T4*2020-07-01*2020-12-31*5, en una escala de 1 a 7.*0.79*-0.37999999999999995**2348.9700000000003*63.0*0.0*219115.0*False*153.658*0.37**0.37*0.01****True*T*2020
